Country Name	Country Code	Indicator Name	Indicator Code	1960	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018
Aruba	ABW	Prevalence of undernourishment (% of population)	SN.ITK.DEFC.ZS																																																											
Afghanistan	AFG	Prevalence of undernourishment (% of population)	SN.ITK.DEFC.ZS																																									46.1	46.4	43.7	39.8	36.1	33.2	30.1	27	24.5	22.9	22.1	22.2	23.4	25.5	27.6	29.3	30.3		
Angola	AGO	Prevalence of undernourishment (% of population)	SN.ITK.DEFC.ZS																																									71.5	68.9	65.3	61.3	57.8	54.8	51.8	48.6	45.4	42.5	40.4	38.2	35.1	30.8	27	24.8	23.9		
Albania	ALB	Prevalence of undernourishment (% of population)	SN.ITK.DEFC.ZS																																									7.2	7.8	8.7	9.7	10.6	10.9	10.8	10.3	9.5	8.4	7.4	6.6	6	5.7	5.5	5.5	5.5		
Andorra	AND	Prevalence of undernourishment (% of population)	SN.ITK.DEFC.ZS																																																											
Arab World	ARB	Prevalence of undernourishment (% of population)	SN.ITK.DEFC.ZS																																									11.06934481	10.83725502	10.81962682	10.88197701	10.93109558	10.90400415	10.74709409	10.54974353	10.35148595	10.01662067	9.67618665	9.403567159	11.0831891	11.22464648	11.45965268	11.78265207	12.05190324		
United Arab Emirates	ARE	Prevalence of undernourishment (% of population)	SN.ITK.DEFC.ZS																																									2.5	2.5	2.5	2.6	3.2	4.1	4.9	5.6	6	6	5.9	5.6	5.1	4.5	3.9	3.1	2.5		
Argentina	ARG	Prevalence of undernourishment (% of population)	SN.ITK.DEFC.ZS																																									3.5	4.1	4.9	5.3	5.2	4.7	4.4	4.2	4.1	4.1	4	3.9	3.7	3.5	3.4	3.6	3.8		
Armenia	ARM	Prevalence of undernourishment (% of population)	SN.ITK.DEFC.ZS																																									23.8	23.5	20.7	15.6	10.9	7.8	6.1	5.4	5	5.3	5.5	5.6	5.1	4.6	4.3	4.3	4.3		
American Samoa	ASM	Prevalence of undernourishment (% of population)	SN.ITK.DEFC.ZS																																																											
Antigua and Barbuda	ATG	Prevalence of undernourishment (% of population)	SN.ITK.DEFC.ZS																																																											
Australia	AUS	Prevalence of undernourishment (% of population)	SN.ITK.DEFC.ZS																																									2.5	2.5	2.5	2.5	2.5	2.5	2.5	2.5	2.5	2.5	2.5	2.5	2.5	2.5	2.5	2.5	2.5		
Austria	AUT	Prevalence of undernourishment (% of population)	SN.ITK.DEFC.ZS																																									2.5	2.5	2.5	2.5	2.5	2.5	2.5	2.5	2.5	2.5	2.5	2.5	2.5	2.5	2.5	2.5	2.5		
Azerbaijan	AZE	Prevalence of undernourishment (% of population)	SN.ITK.DEFC.ZS																																									23	18.6	14.8	11.4	8.2	5.5	3.7	2.8	2.5	2.5	2.5	2.5	2.5	2.5	2.5	2.5	2.5		
Burundi	BDI	Prevalence of undernourishment (% of population)	SN.ITK.DEFC.ZS																																																											
